query;atoms;rSize;inDeg;kSize;cleanFacts;Duplicated;ans;dbSize;selectAns;purified;certainAns;sPrimCheck;kSetCheck;blockCheck;addedKSet;durMsSelect;durMsCqa
Q1;2;10;0.2;2;9;1;2;20;3;true;3;15;13;9;10;0;1
Q1;2;10;0.2;2;9;1;2;20;3;false;3;614;628;461;609;0;7
Q2;2;10;0.2;2;9;1;2;20;2;true;1;3;4;3;2;1;4
Q2;2;10;0.2;2;9;1;2;20;2;false;1;606;611;6914;228;1;19
Q3;3;10;0.2;2;9;1;2;30;2;true;1;7;12;19;6;3;11
Q3;3;10;0.2;2;9;1;2;30;2;false;1;4960;17368;335292;4959;3;2769
Q4;3;10;0.2;2;9;1;2;30;2;true;1;7;12;19;6;1;1
Q4;3;10;0.2;2;9;1;2;30;2;false;1;17039;17393;336377;4959;1;2356
Q5;2;10;0.2;2;9;1;2;20;3;true;3;21;13;11;10;0;1
Q5;2;10;0.2;2;9;1;2;20;3;false;3;620;628;344;615;0;0
Q6;3;10;0.2;2;9;1;2;30;2;true;2;7;11;19;6;1;2
Q6;3;10;0.2;2;9;1;2;30;2;false;2;17795;9369;10532;9042;1;201
Q7;3;10;0.2;2;9;1;2;30;2;true;2;14;22;38;12;1;2
Q7;3;10;0.2;2;9;1;2;30;2;false;2;17646;9418;11124;9042;1;231
Q8;2;10;0.2;2;9;1;2;20;2;true;2;6;6;6;4;1;1
Q8;2;10;0.2;2;9;1;2;20;2;false;2;793;420;345;407;1;0
Q9;3;10;0.2;2;9;1;2;30;2;true;1;7;12;19;6;1;2
Q9;3;10;0.2;2;9;1;2;30;2;false;1;4969;17312;334343;4959;1;2162
Q10;3;10;0.2;2;9;1;2;30;3;true;1;7;19;35;6;1;1
Q10;3;10;0.2;2;9;1;2;30;3;false;1;17228;30052;666339;5393;1;2277
Q11;2;10;0.2;2;9;1;2;20;2;true;2;6;6;6;4;0;1
Q11;2;10;0.2;2;9;1;2;20;2;false;2;416;420;157;414;0;0
Q1;2;10;0.2;2;9;1;2;20;2;true;2;6;6;6;4;0;0
Q1;2;10;0.2;2;9;1;2;20;2;false;2;204;210;374;203;0;0
Q2;2;10;0.2;2;9;1;2;20;2;true;2;6;6;6;4;0;0
Q2;2;10;0.2;2;9;1;2;20;2;false;2;413;420;303;410;0;0
Q3;3;10;0.2;2;9;1;2;30;3;true;3;51;47;73;30;0;0
